,预订,650000T2120G,T212,SZQ,SNH,YTG,HGH,00:20,05:39,05:19,N,%2FE0zQ4Fqe6WU%2B6NQ1gdbxJZZMS6EvlV2EOsFfoORYKYpvImszsOgHJyG2k8%3D,20171007,3,Q7,08,13,0,0,,,,无,,,无,,无,无,,,,,10401030,1413
vuvsoef%2F80hmQfAvGTMg6KHLsfVYNf53PldVCJg%2F8zAcwMDFiPHvozg1qURpxYtF%2BozM3RbR7Spb%0AVgakAOf8xClKPmW%2B6GxI7EaB4PTEZrnWhtWchM14RYEhVA%2FRixcNmva8Jt5Zw9WWGbmByc0ZXXHf%0AEn7wkCvjMh7uLtrxXrVlhWvMwiSlOwhKsbvO%2FO%2BKE%2Bltpj2%2BPLZKHmN6gMOFxe8fzhet1aMEqKnj%0AidAMBVjRJoLMJzx6rA%3D%3D,预订,620000Z24501,Z248,CSQ,SNH,YTG,HGH,00:26,04:47,04:21,Y,JGNOf9AyYs8P2PFJCGBKDAnpWJZVKYUzU5mxsQm9jBqvvhxM6lw2Ix8Z6OY%3D,20171007,3,Q6,03,05,0,0,,,,无,,,3,,无,无,,,,,10401030,1413
,预订,760000K5300K,K530,ICW,HZH,YTG,HZH,00:38,07:45,07:07,N,%2FE0zQ4Fqe6WU%2B6NQ1gdbxJZZMS6EvlV2EOsFfoORYKYpvImszsOgHJyG2k8%3D,20171006,3,W2,19,24,0,0,,,,无,,,无,,无,无,,,,,10401030,1413
5vJvlP%2FG4GWBbvCrJ4imKFWroZ1zc%2FuuK2h7hQWS3USA0PXX0B2qm9v14JCHF9aoM2qtG8ezAtn3%0AG%2B3YuvS9Cwppz%2BLV5V3XfVugxF6R8oCcyhiQ7SMcxnLP6QLptAmZU1pH96fNGmgjje4c1YSVNuLs%0AAq0nFpF5n1Tyg7LIJffM26atYNkMbXDi%2BEFL0b9A5d1F%2FQJL7j96lAJDNNWl9ZVRH7NG9RZeZyQJ%0Af6%2F48igC2nvpjgH9eg%3D%3D,预订,42000K112806,K1128,XFN,SNH,YTG,HGH,00:48,07:12,06:24,Y,VQBL66F2Pa7ncHG47hm%2FA3iLtGTzkNZyHcQvFoUG3HIW6LHTdAa3sYSuAZU%3D,20171007,3,N2,10,14,0,0,,,,无,,,1,,无,无,,,,,10401030,1413
13FTSy03zqP1WSxeca0wqSGsLCOFHB7LOyjBWovE316ItT11407H3a0CuiWsic36%2FAZvReNceTyK%0AOMwjp9MaRneDk7URWYT%2BImcmMcdKATPq%2BbvDpmtEyF9HIyVPys2dW3Nc987A0y1UmipaaUAw5T1p%0AF6uiiyr4%2Fy0B2DRf1XFngU%2Bl4ll1WwP6Pmqa4hJFeIEeyixOA0k6vjD6d6YqRe9jMGY5S3HYiSVX%0ANZ6fUJ2qGU6PlacrRQ%3D%3D,预订,630000T1700M,T170,GZQ,SNH,YTG,HGH,01:15,06:52,05:37,Y,cgPeGoremM1u%2FvW0cWleFdtAVKS1gS7Kepw%2BPgBpy5rPZJ9nFD0wGCsBDmQ%3D,20171007,3,Q7,08,12,0,0,,,,无,,,2,,无,无,,,,,10401030,1413
cLSoMGWSkwm9xDEd3unfLChLNJkZoC7ZW2c3UbUtj0QOkbpbVc%2B22LajljB74rYldpFWbiYtLAWB%0A7JMo3E06qW42DHfkYy0dXpii4P9%2F1fp%2BCoJST%2FkfGbKF3YSqRo6SvS3HvAlm0ZciAvSXxuWuoEHl%0Aiz7q0xDBb5vQ%2FdlH3UtdlAjOmqe0sRyuuHYPH3BiKYqR47s5zR5x3d4xDPj%2BC7ozBvq4NDKNz1HQ%0A583svRpgQfJSGSd28w%3D%3D,预订,76000K12730D,K1272,CDW,HZH,YTG,HZH,01:27,10:10,08:43,Y,gbSoJZ%2F%2FvOtU0DYMM4b525ESo4mJZIly4NLd1Y5WmpaPDTRGPQ9cwZeKbg8%3D,20171006,3,W1,27,30,0,0,,,,无,,,4,,无,1,,,,,10401030,1413
,预订,620000K7600I,K760,HYQ,SNH,YTG,HZH,02:16,09:10,06:54,N,%2FE0zQ4Fqe6WU%2B6NQ1gdbxJZZMS6EvlV2EOsFfoORYKYpvImszsOgHJyG2k8%3D,20171007,3,Q6,07,13,0,0,,,,无,,,无,,无,无,,,,,10401030,1413
,预订,640000K8080K,K808,HHQ,SZH,YTG,HZH,03:25,10:28,07:03,N,%2FE0zQ4Fqe6WU%2B6NQ1gdbxJZZMS6EvlV2EOsFfoORYKYpvImszsOgHJyG2k8%3D,20171007,3,Q9,11,15,0,0,,,,无,,,无,,无,无,,,,,10401030,1413
,预订,650000T1020C,T102,SZQ,SNH,YTG,HGH,03:38,09:13,05:35,N,%2FE0zQ4Fqe6WU%2B6NQ1gdbxJZZMS6EvlV2EOsFfoORYKYpvImszsOgHJyG2k8%3D,20171007,3,Q6,10,15,0,0,,,,无,,,无,,无,无,,,,,10401030,1413
,预订,770000Z25802,Z258,CUW,SNH,YTG,HGH,03:56,07:59,04:03,N,CD5p%2FZaMVDh49p3tzZ096DB2E61iei7h,20171007,3,W2,05,08,0,0,,,,无,,,,,无,,,,,,4030,43
,预订,800000T38208,T382,KMM,SNH,YTG,HGH,04:02,09:19,05:17,N,%2FE0zQ4Fqe6WU%2B6NQ1gdbxJZZMS6EvlV2EOsFfoORYKYpvImszsOgHJyG2k8%3D,20171006,3,M1,26,30,0,0,,,,无,,,无,,无,无,,,,,10401030,1413
,预订,420000K2540B,K254,HAN,SNH,YTG,HGH,04:34,10:37,06:03,N,%2FE0zQ4Fqe6WU%2B6NQ1gdbxJZZMS6EvlV2EOsFfoORYKYpvImszsOgHJyG2k8%3D,20171007,3,N2,13,17,0,0,,,,无,,,无,,无,无,,,,,10401030,1413
,预订,800000K7400L,K740,KMM,SNH,YTG,HGH,04:41,11:50,07:09,N,%2FE0zQ4Fqe6WU%2B6NQ1gdbxJZZMS6EvlV2EOsFfoORYKYpvImszsOgHJyG2k8%3D,20171006,3,M1,15,22,0,0,,,,无,,,无,,无,无,,,,,10401030,1413
,预订,64000K13740A,K1374,HHQ,SNH,YTG,HGH,06:10,12:30,06:20,N,%2FE0zQ4Fqe6WU%2B6NQ1gdbxJZZMS6EvlV2EOsFfoORYKYpvImszsOgHJyG2k8%3D,20171007,3,Q9,11,17,0,0,,,,无,,,无,,无,无,,,,,10401030,1413
VVjSx7bbDlntbYoyHOFbVULH3u7mN9j3GK4q9%2BJpD%2BSXqM4fPue8oEj82KO1Fe%2B%2B9sZVldFz3ktF%0AX%2FFX1RbeduMNdE%2FdbjcUY8xlHNgOMKDRLjtrg5waExPNRMRXTJudd0dpGUYEsnltycvbbLiNHOo9%0AliP7yMmPOmqUtOYYWWkmih7y3h480z0cBAN%2BV8tA9iwpvtKGd3SVuuKTLgkmlbm0ksnS7Q6nE%2FRs%0AyQNAMNkt7P4zWbjZuA%3D%3D,预订,7100000T820C,T82,NNZ,SNH,YTG,HGH,06:37,11:29,04:52,Y,VQBL66F2Pa7ncHG47hm%2FA3iLtGTzkNZyHcQvFoUG3HIW6LHTdAa3sYSuAZU%3D,20171007,3,Z1,19,23,0,0,,,,无,,,1,,无,无,,,,,10401030,1413
,预订,7100000T2607,T26,NNZ,SNH,YTG,HGH,06:43,12:43,06:00,N,%2FE0zQ4Fqe6WU%2B6NQ1gdbxJZZMS6EvlV2EOsFfoORYKYpvImszsOgHJyG2k8%3D,20171007,3,Z1,12,17,0,0,,,,无,,,无,,无,无,,,,,10401030,1413
,预订,630000K2100F,K210,GZQ,NGH,YTG,HZH,07:44,13:38,05:54,N,%2FE0zQ4Fqe6WU%2B6NQ1gdbxJZZMS6EvlV2EOsFfoORYKYpvImszsOgHJyG2k8%3D,20171007,3,Q6,06,14,0,0,,,,无,,,无,,无,无,,,,,10401030,1413
,预订,780000K4960D,K496,UMW,SNH,YTG,HGH,08:01,14:03,06:02,N,%2FE0zQ4Fqe6WU%2B6NQ1gdbxJZZMS6EvlV2EOsFfoORYKYpvImszsOgHJyG2k8%3D,20171007,3,W2,10,15,0,0,,,,无,,,无,,无,无,,,,,10401030,1413
,预订,5u000G149205,G1492,NXG,NKH,YKG,HGH,08:46,11:02,02:16,N,GNJIPzHrbmtQTiruOCKkQ9DaMekqLsCYaklzIyqg%2Bg%2FsUmNX,20171008,3,G2,02,07,0,0,,,,,,,,,,,无,无,无,,O090M0,O9M
,预订,5u000G138407,G1384,NXG,AOH,YKG,HGH,08:58,11:22,02:24,N,puBlwht%2FzHn95cJdeualvbZzopYhE%2BJiaLJVZtoMNbRgvgcj,20171008,3,G2,04,12,0,0,,,,,,,,,,,无,无,无,,O0M090,OM9
